IP:Port,Loss,Latency
188.114.97.74:894,0%,55.04
188.114.99.97:4233,0%,55.10
188.114.96.45:928,0%,55.85
162.159.192.197:890,0%,55.93
188.114.97.226:1014,0%,56.53
188.114.99.119:903,0%,56.92
162.159.195.30:934,0%,57.00
162.159.192.145:1074,0%,57.02
188.114.98.53:1070,0%,57.08
162.159.192.112:7559,0%,57.42
162.159.195.63:500,0%,57.43
162.159.195.99:7103,0%,57.43
188.114.97.185:1018,0%,57.71
188.114.97.187:1018,0%,57.78
188.114.99.2:864,0%,57.82
162.159.192.124:878,0%,57.88
188.114.98.116:8319,0%,57.92
188.114.96.146:3138,0%,57.95
162.159.195.220:878,0%,58.02
162.159.195.147:8319,0%,58.05
188.114.96.98:3138,0%,58.05
188.114.97.178:7281,0%,58.13
188.114.99.55:945,0%,58.19
188.114.99.134:7281,0%,58.26
188.114.96.159:5956,0%,58.43
162.159.195.113:928,0%,58.45
162.159.195.82:945,0%,58.57
188.114.96.62:903,0%,58.65
162.159.195.143:878,0%,58.67
188.114.98.234:8319,0%,58.69
162.159.195.52:942,0%,58.71
162.159.195.245:1387,0%,58.73
162.159.195.203:1843,0%,58.76
188.114.97.232:942,0%,58.79
188.114.98.32:1018,0%,58.90
188.114.98.59:2371,0%,58.94
162.159.195.176:1010,0%,58.99
162.159.195.235:4198,0%,58.99
188.114.98.224:1014,0%,59.18
188.114.96.183:942,0%,59.20
162.159.195.49:903,0%,59.25
162.159.192.61:8886,0%,59.25
162.159.192.81:890,0%,59.25
162.159.192.129:1014,0%,59.33
188.114.99.195:3854,0%,59.34
188.114.99.122:945,0%,59.39
188.114.97.2:1387,0%,59.44
188.114.96.237:1387,0%,59.49
162.159.195.180:1387,0%,59.61
188.114.97.131:4198,0%,59.63
188.114.96.56:1074,0%,59.65
162.159.195.44:7103,0%,59.66
188.114.98.187:945,0%,59.67
162.159.192.194:987,0%,59.69
188.114.98.84:939,0%,59.73
188.114.99.64:500,0%,59.75
188.114.97.89:894,0%,59.78
162.159.195.65:4233,0%,59.81
188.114.97.132:859,0%,59.88
162.159.192.124:1180,0%,59.88
188.114.98.24:903,0%,59.89
188.114.98.66:934,0%,59.91
188.114.96.70:3854,0%,59.92
188.114.96.174:7156,0%,59.94
188.114.99.231:903,0%,60.05
188.114.97.92:8742,0%,60.06
162.159.192.176:3581,0%,60.07
188.114.96.232:1002,0%,60.10
188.114.98.250:878,0%,60.10
162.159.192.210:3138,0%,60.11
188.114.97.217:1018,0%,60.14
188.114.99.6:2506,0%,60.15
188.114.99.86:864,0%,60.25
188.114.99.181:945,0%,60.25
188.114.96.153:1180,0%,60.29
188.114.96.251:1010,0%,60.29
188.114.96.161:945,0%,60.32
162.159.195.42:7103,0%,60.33
188.114.99.179:854,0%,60.36
162.159.192.66:5956,0%,60.54
188.114.98.176:500,0%,60.55
188.114.96.94:3476,0%,60.56
188.114.96.47:500,0%,60.62
162.159.192.50:4177,0%,60.62
162.159.192.99:943,0%,60.72
188.114.96.130:8742,0%,60.73
188.114.96.86:988,0%,60.74
188.114.99.10:1843,0%,60.79
188.114.96.23:934,0%,60.81
162.159.195.113:3138,0%,60.92
188.114.99.230:891,0%,60.92
188.114.98.239:8886,0%,60.93
188.114.98.133:891,0%,60.94
