IP:Port,Loss,Latency
188.114.99.204:908,0%,56.28
162.159.192.22:945,0%,57.99
162.159.195.179:7152,0%,58.73
162.159.195.174:903,0%,59.25
162.159.192.30:1180,0%,59.41
188.114.99.203:2408,0%,59.59
162.159.195.184:968,0%,59.65
162.159.195.150:3854,0%,59.87
188.114.98.57:500,0%,60.01
162.159.195.58:1843,0%,60.06
188.114.96.198:968,0%,60.12
188.114.98.195:1074,0%,60.14
162.159.195.103:3581,0%,60.28
188.114.99.241:943,0%,60.61
162.159.195.136:3476,0%,60.74
188.114.97.177:4198,0%,61.18
188.114.96.142:928,0%,61.56
162.159.192.171:3476,0%,61.62
188.114.99.166:4500,0%,61.90
162.159.195.237:7103,0%,61.95
188.114.97.42:5279,0%,62.08
188.114.96.114:1010,0%,62.10
188.114.99.130:908,0%,62.17
188.114.98.98:1014,0%,62.42
162.159.192.37:1387,0%,62.48
162.159.195.95:942,0%,62.52
188.114.97.90:7152,0%,62.62
188.114.99.234:2371,0%,62.92
188.114.96.205:4233,0%,62.92
188.114.97.246:1002,0%,63.19
188.114.98.81:942,0%,63.27
162.159.192.196:945,0%,63.36
162.159.195.179:928,0%,63.39
188.114.97.118:3138,0%,63.41
162.159.192.107:1387,0%,63.45
162.159.192.105:7281,0%,63.48
188.114.99.228:908,0%,63.48
188.114.96.48:2408,0%,63.49
188.114.99.141:4500,0%,63.59
162.159.195.229:5279,0%,63.63
162.159.195.29:4198,0%,63.67
188.114.97.16:3476,0%,63.78
188.114.99.21:859,0%,63.91
188.114.99.241:8854,0%,64.01
188.114.96.97:7156,0%,64.02
188.114.99.190:5279,0%,64.06
188.114.96.178:7559,0%,64.08
162.159.192.244:1070,0%,64.21
188.114.98.168:955,0%,64.24
162.159.195.15:939,0%,64.32
188.114.98.36:2408,0%,64.33
188.114.97.110:3581,0%,64.34
188.114.97.188:1074,0%,64.45
188.114.99.108:4177,0%,64.45
188.114.96.72:943,0%,64.72
162.159.192.121:945,0%,64.77
162.159.195.90:7152,0%,64.86
162.159.195.141:880,0%,64.99
188.114.97.225:8854,0%,65.05
188.114.99.57:859,0%,65.07
188.114.97.253:890,0%,65.10
188.114.99.101:878,0%,65.20
188.114.96.143:7559,0%,65.24
162.159.192.85:903,0%,65.33
188.114.98.215:1014,0%,65.44
188.114.96.1:859,0%,65.64
188.114.97.138:2408,0%,65.68
188.114.96.12:2506,0%,65.71
188.114.99.243:934,0%,65.85
188.114.97.206:5279,0%,65.91
162.159.195.231:3138,0%,65.99
162.159.195.121:988,0%,66.00
188.114.98.192:7281,0%,66.03
162.159.195.5:1014,0%,66.04
188.114.97.39:1002,0%,66.21
162.159.195.193:1387,0%,66.35
188.114.96.101:943,0%,66.51
162.159.192.85:1387,0%,66.59
188.114.98.146:987,0%,66.65
162.159.192.198:894,0%,66.72
162.159.195.208:880,0%,66.77
162.159.192.221:987,0%,67.02
188.114.96.238:8886,0%,67.17
188.114.97.249:945,0%,67.18
162.159.195.183:500,0%,67.23
162.159.195.162:891,0%,67.25
162.159.192.193:894,0%,67.26
188.114.99.244:500,0%,67.28
188.114.97.138:942,0%,67.52
188.114.97.134:1180,0%,67.61
162.159.195.134:2371,0%,67.72
188.114.99.14:864,0%,67.74
162.159.195.189:946,0%,68.12
188.114.96.186:1074,0%,68.13
188.114.97.173:8319,0%,68.28
162.159.195.201:878,0%,68.42
188.114.99.98:859,0%,68.44
162.159.195.158:894,0%,68.44
162.159.192.64:3854,0%,68.68
188.114.98.45:500,0%,68.75
162.159.192.249:943,0%,68.90
188.114.96.39:4500,0%,68.98
162.159.195.249:1002,0%,69.06
162.159.195.179:1018,0%,69.10
162.159.195.67:7152,0%,69.17
188.114.96.22:891,0%,69.19
188.114.96.221:878,0%,69.20
188.114.97.200:3138,0%,69.21
188.114.97.70:8742,0%,69.23
188.114.99.181:891,0%,69.23
188.114.98.57:8886,0%,69.34
188.114.98.137:5279,0%,69.34
162.159.195.38:955,0%,69.35
188.114.97.65:939,0%,69.35
188.114.97.17:1070,0%,69.36
188.114.98.160:2371,0%,69.37
188.114.97.218:968,0%,69.39
162.159.192.205:2408,0%,69.39
162.159.195.155:908,0%,69.39
188.114.97.252:946,0%,69.41
162.159.195.240:1843,0%,69.43
188.114.98.255:945,0%,69.43
188.114.98.246:864,0%,69.43
188.114.99.154:3138,0%,69.49
188.114.97.7:987,0%,69.67
188.114.97.129:988,0%,69.69
188.114.98.44:945,0%,69.75
188.114.98.249:3581,0%,69.77
188.114.97.249:4177,0%,69.78
188.114.98.77:500,0%,69.83
188.114.96.129:8742,0%,69.86
188.114.96.175:3476,0%,69.89
188.114.97.38:945,0%,69.92
188.114.98.172:3476,0%,69.94
162.159.192.75:988,0%,69.96
188.114.97.193:928,0%,69.96
188.114.97.168:864,0%,69.98
162.159.192.113:864,0%,70.00
188.114.98.89:2506,0%,70.01
188.114.98.32:928,0%,70.01
162.159.192.66:4177,0%,70.01
162.159.195.110:8319,0%,70.04
188.114.96.57:2408,0%,70.05
162.159.192.158:1180,0%,70.06
188.114.98.163:500,0%,70.07
162.159.192.223:945,0%,70.09
188.114.98.150:3581,0%,70.18
188.114.98.174:878,0%,70.24
188.114.97.191:500,0%,70.28
188.114.96.33:988,0%,70.32
188.114.98.24:4177,0%,70.32
188.114.99.153:1014,0%,70.33
162.159.192.194:1018,0%,70.36
162.159.195.160:1070,0%,70.36
162.159.192.242:1387,0%,70.38
188.114.99.53:5279,0%,70.41
188.114.99.200:4198,0%,70.52
188.114.97.198:500,0%,70.60
188.114.98.145:1070,0%,70.73
162.159.192.181:7281,0%,71.02
162.159.192.141:891,0%,71.06
188.114.99.122:1070,0%,71.08
162.159.192.128:5956,0%,71.13
162.159.195.227:7103,0%,71.13
188.114.98.238:7156,0%,71.15
188.114.96.233:7156,0%,71.17
188.114.97.52:946,0%,71.20
188.114.98.213:3581,0%,71.21
188.114.96.70:955,0%,71.30
162.159.195.10:878,0%,71.30
188.114.96.169:7156,0%,71.32
188.114.99.203:5279,0%,71.41
188.114.97.46:854,0%,71.42
188.114.99.125:908,0%,71.45
162.159.195.137:1387,0%,71.46
162.159.192.78:2371,0%,71.56
188.114.97.8:2408,0%,71.56
188.114.96.163:968,0%,71.75
188.114.99.65:4177,0%,71.77
